R,EXC,S,SEXO,CD1.1A,CD1.1B,CD1.1C,CD1.2A,CD1.2B,CD1.2C,CD1.3A,CD1.3B,CD1.3C,CD1.4A,CD1.4B,CD1.4C,CD1.5A,CD1.5B,CD1.5C,CD1.6A,CD1.6B,CD1.6C,CD1.7A,CD1.7B,CD1.7C,CD1.8A,CD1.8B,CD1.8C,CD1.9A,CD1.9B,CD1.9C,CD1.10A,CD1.10B,CD1.10C,CD4.1A,CD4.1B,CD4.1C,CD4.2A,CD4.2B,CD4.2C,CD4.3A,CD4.3B,CD4.3C,CD4.4A,CD4.4B,CD4.4C,CD4.5A,CD4.5B,CD4.5C,CD4.6A,CD4.6B,CD4.6C,CD4.7A,CD4.7B,CD4.7C,CD4.8A,CD4.8B,CD4.8C,CD4.9A,CD4.9B,CD4.9C,CD4.10A,CD4.10B,CD4.10C,CD8.1A,CD8.1B,CD8.1C,CD8.2A,CD8.2B,CD8.2C,CD8.3A,CD8.3B,CD8.3C,CD8.4A,CD8.4B,CD8.4C,CD8.5A,CD8.5B,CD8.5C,CD8.6A,CD8.6B,CD8.6C,CD8.7A,CD8.7B,CD8.7C,CD8.8A,CD8.8B,CD8.8C,CD8.9A,CD8.9B,CD8.9C,CD8.10A,CD8.10B,CD8.10C,CD12.1A,CD12.1B,CD12.1C,CD12.2A,CD12.2B,CD12.2C,CD12.3A,CD12.3B,CD12.3C,CD12.4A,CD12.4B,CD12.4C,CD12.5A,CD12.5B,CD12.5C,CD12.6A,CD12.6B,CD12.6C,CD12.7A,CD12.7B,CD12.7C,CD12.8A,CD12.8B,CD12.8C,CD12.9A,CD12.9B,CD12.9C,CD12.10A,CD12.10B,CD12.10C,CD18.1A,CD18.1B,CD18.1C,CD18.2A,CD18.2B,CD18.2C,CD18.3A,CD18.3B,CD18.3C,CD18.4A,CD18.4B,CD18.4C,CD18.5A,CD18.5B,CD18.5C,CD18.6A,CD18.6B,CD18.6C,CD18.7A,CD18.7B,CD18.7C,CD18.8A,CD18.8B,CD18.8C,CD18.9A,CD18.9B,CD18.9C,CD18.10A,CD18.10B,CD18.10C,CD24.1A,CD24.1B,CD24.1C,CD24.2A,CD24.2B,CD24.2C,CD24.3A,CD24.3B,CD24.3C,CD24.4A,CD24.4B,CD24.4C,CD24.5A,CD24.5B,CD24.5C,CD24.6A,CD24.6B,CD24.6C,CD24.7A,CD24.7B,CD24.7C,CD24.8A,CD24.8B,CD24.8C,CD24.9A,CD24.9B,CD24.9C,CD24.10A,CD24.10B,CD24.10C,RD1.1A,RD1.1B,RD1.1C,RD1.2A,RD1.2B,RD1.2C,RD4.3A,RD4.3B,RD4.3C,RD8.4A,RD8.4B,RD8.4C,RD8.5A,RD8.5B,RD8.5C,RD12.6A,RD12.6B,RD12.6C,RD12.7A,RD12.7B,RD12.7C,RD18.8A,RD18.8B,RD18.8C,RD18.9A,RD18.9B,RD18.9C,RD24.10A,RD24.10B,RD24.10C
1,48,GAD,2,,,63,,,84,,,63,,,63,,,84,,,118,,,63,,,118,,,84,,,84,,132,153,84,132,153,,132,153,,63,153,63,132,,84,118,153,63,118,153,,132,153,63,132,,63,118,153,208,251,299,189,208,237,189,208,251,189,208,,189,208,299,153,208,237,153,,237,208,,251,208,237,,189,208,251,,299,468,299,338,468,,299,468,,299,468,299,338,468,,299,468,,299,338,299,,338,,,338,299,338,468,,468,,,468,,468,498,,532,,,,468,,,468,,,468,498,,468,498,468,532,,468,532,,,532,603,,532,,,603,,532,603,,,658,,,532,,,532,,532,,603,532,603,,603,658,,,,,,,,,63,189,63,153,299,208,237,299,208,299,498,299,,498,338,498,,,498,,498,603,
1,78,CAV,2,,,88,,,65,,,65,,,65,,,65,,,65,,,65,,,65,,,,,,65,,122,,88,122,150,,150,122,,122,,,122,,,150,,,88,122,,88,150,,150,,122,,,122,,,,,,,,150,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,CVS,2,,,95,,,95,,,67,,,67,,,67,,,67,,,67,,,67,,,95,,,67,95,156,191,95,67,191,95,156,191,,67,204,67,156,,95,,156,67,,156,95,67,191,,95,,67,156,191,191,204,273,156,,273,156,191,273,156,273,303,156,,273,,204,191,,191,303,,191,303,191,,273,191,,273,303,393,,273,393,,,,303,273,303,,273,303,,303,393,,303,,,273,303,,273,,,303,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,67,67,,165,165,191,273,165,191,273,191,,303,191,393,,,303,,393,,,,,
1,88,OTZ,2,,,87,,,87,,,67,,,87,,,,,,67,,,67,,,67,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,
1,150,PIAD,1,,,68,,,68,,,,,,68,,,68,,,,,,68,,,68,,,68,,,,100,,,,100,,,100,,100,122,,,100,,100,,,100,122,,100,,,,100,,100,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,68,100,122,,,,,,,,,,,,,,,,,,,,,,
1,71,VRH,1,,,75,,,75,,,95,,,75,,,95,,,95,,,95,,,75,,,95,,,75,95,122,241,95,122,204,122,,204,95,122,,95,143,,95,122,204,95,122,204,122,,,95,204,,95,122,,,,,,,241,204,,263,,,241,,263,,241,,,241,263,,241,263,,,,241,,,241,,,263,,,,,,282,,,282,,,282,,,263,,,263,,,,,,282,,,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,122,95,122,282,143,,204,,,241,,241,,330,,,330,,,,330,,,,
2,RI145,LUCV,2,,,75,,,75,,,75,,,75,,,75,,,75,,,75,,,75,,,75,,,,,75,82,75,,,75,,,75,,,75,82,,75,,,75,82,,75,82,,75,82,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,82,75,82,,82,,,,,,,,,,,,,,,,,,,,,,,
1,11,CRCHN,2,,,81,,,81,,,81,,,81,,,81,,,81,,,81,,,81,,,81,,,81,81,122,,,81,,81,122,,81,94,,81,94,,81,122,,81,122,,94,122,,81,122,,81,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,94,94,122,,,,,,,,,,,,,,,,,,,,,,
1,131,MCMJ,2,,,95,,,81,,,81,,,81,,,81,,,95,,,95,,,95,,,95,,,81,,,,95,102,,95,,,95,,,95,102,,102,,,102,,,102,,,,102,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,95,102,,,,,,,,,,,,,,,,,,,,,,,
1,146,TOME,1,,,82,,,,,,82,,,82,,,82,,,82,,,82,,,82,,,82,,,82,82,117,179,,117,151,,117,151,,82,151,82,117,,,117,151,,117,151,117,151,,117,151,,82,117,151,229,,270,179,229,270,,151,229,179,207,229,179,207,270,151,207,229,179,229,270,179,,270,151,179,270,207,,324,270,,,270,,,,324,,,270,,270,324,,300,324,,300,324,,324,,,270,324,,324,,,,,,324,,,,,,,,,,,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,117,,,82,117,151,151,179,82,151,179,,270,179,270,,270,324,,324,,,,,,,,
1,152,JUVM,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,175,86,120,175,86,120,175,86,120,209,,86,,86,,175,86,120,175,86,120,175,,86,,,86,209,209,,,175,,,175,,,175,,,175,209,,,,209,,,209,,,209,175,,,,175,,,,,,,,209,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,120,,86,120,,120,,120,147,175,,209,,209,,,,,,,,,,,,,,
1,34,MSC,1,,,125,,,90,,,90,,,90,,,90,,,125,,,90,,,90,,,125,,,90,90,125,180,90,125,180,90,125,180,,90,180,90,,,90,,125,90,,125,90,125,180,90,125,,,90,180,180,,302,214,,302,,214,302,180,,302,180,214,302,180,,214,180,,214,180,,214,214,,302,180,214,302,302,373,599,,302,599,,,599,,302,329,,302,360,,302,599,,302,360,302,329,,,,599,302,329,599,395,,,395,599,,395,,,,,,599,,,,599,,,599,,,599,,,599,,,599,,,,,,599,,599,,,,599,,,599,,,599,,,599,,,599,,,,,,599,,,,125,,,125,,90,,90,125,214,125,214,302,,302,329,302,,599,,,599,375,,599,,,599
1,151,CACA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,147,98,125,147,98,125,147,98,125,147,,98,,98,125,147,,98,147,98,125,147,,98,,98,125,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,98,98,125,,147,,,,,,,,,,,,,,,,,,,,
1,15,GMR,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,145,193,,104,145,104,145,193,,104,193,104,145,,,104,145,104,145,193,104,145,193,104,145,,,104,193,193,,,243,,,193,,,193,,,193,,,,193,,,193,,,193,,,193,,,193,,,243,,243,,,243,,,243,,,243,,,,243,,,243,,,243,,,243,,,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,104,104,145,193,,193,243,193,,365,243,365,,365,,,,,,,,,,,
1,55,RLO,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,241,,104,241,104,,,,,241,104,,,104,,241,104,,241,,241,,,104,,,241,,,,,,,,,241,,241,,,,,,,241,,241,,,,,,241,,,241,,,443,,,,443,,443,,,,443,,,443,,443,,,,443,,443,,,443,,,,443,,443,539,,443,539,,443,539,,539,,,539,,,539,,,,,,539,,,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,539,443,,539,,539,,,539,,,539,,539,,
1,4,ARM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,202,,107,202,,107,202,,107,202,107,202,,107,,202,107,,202,,107,202,,107,,,107,202,202,,,202,,,,202,,202,,,202,214,,202,214,,,202,,,202,,202,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,202,202,215,,215,,,,,,,,,,,,,,,,,
5,159,RAGK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,142,,,108,142,,108,142,,108,142,,108,,,142,,,108,,,108,,,108,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,108,,142,,142,,,,,,,,,,,,,,,,,,,,
1,154,ESCA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,112,,,112,,,112,,,112,,112,,,,112,,112,,,,112,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,112,,,,,,,,,,,,,,,,,,,,,,,,
1,54,RSV,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,120,217,113,127,175,113,120,175,113,127,,113,142,,113,142,175,,113,154,113,142,175,,113,,113,127,175,217,,301,175,,217,,175,343,175,,301,175,217,301,,175,301,175,,301,217,,301,175,,301,217,,301,343,418,514,343,,377,343,377,452,301,343,418,301,,377,,301,377,,301,377,343,,377,301,418,452,343,,377,377,452,576,,,377,,377,,418,,535,,377,,377,418,,377,452,576,377,418,452,452,576,,452,535,576,535,576,626,,535,,535,626,,535,,626,535,,626,576,653,688,535,,,535,,626,535,576,688,653,,,,,,,,,113,127,175,154,,175,175,,301,301,343,377,343,377,545,343,452,626,,452,545,452,545,
1,24,RCDP,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,118,,,118,,,118,,118,155,,118,,,,118,,118,,,118,155,,,118,,,,,,,,,,,155,,,155,,,155,,,155,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,118,,,142,,118,197,,197,342,,,342,,342,,,342,,362,,,,,
1,33,GLM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,120,,175,,,175,,120,186,,,,,175,186,,120,216,175,,186,265,120,,120,,186,175,,252,175,,186,175,186,,175,,244,175,,,,244,,186,,,,244,,186,,,186,244,,,216,455,,216,455,,216,455,216,,455,216,,455,,216,455,,216,455,,,,,,,216,,455,,455,,,455,,,455,,,,,455,,,455,,,455,,,,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,175,,175,455,186,,244,,175,,,455,,455,,,455,,,455,,
1,70,JVA,1,,,120,,,120,,,120,,,120,,,120,,,120,,,120,,,120,,,120,,,120,,120,209,,120,209,,120,209,,120,252,,120,,120,153,209,,120,169,,120,169,,120,,,120,300,,,252,209,274,252,209,274,300,,209,314,,209,314,,252,,,209,,,209,,252,,314,,,252,,,274,,,274,,,252,,,,,328,,328,,,328,,,,,328,,,,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,153,120,153,209,169,,252,209,314,355,328,340,355,340,,,,,,328,340,390,458,,
1,41,NSJG,1,,,124,,,124,,,124,,,124,,,124,,,124,,,124,,,124,,,124,,,124,,,158,124,,158,124,,158,124,,192,,124,,124,,158,,124,158,124,,158,124,158,,124,158,192,,192,275,158,192,254,158,192,343,,192,275,158,,247,158,,192,,192,254,,192,254,,192,275,,192,254,,275,455,192,275,455,254,,275,,254,275,254,329,414,,254,414,,254,414,275,329,,254,275,414,275,329,343,343,455,,343,455,572,414,455,,414,531,627,,414,572,,414,572,,414,455,,414,,,,627,414,531,627,455,,627,,455,,455,,,,,572,455,572,627,455,572,627,455,572,,,572,627,572,,,572,627,,,,,,,,,,158,,158,247,158,192,275,,254,343,254,,414,254,,414,,343,572,455,572,722
1,160,ALCC,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,124,,,124,,,124,,,124,,,124,,,124,,,124,,,124,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,124,,124,,124,,,,,,,,,,,,,,,,,,,,
1,9,SROS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,143,,,143,,,143,,143,,,,143,,,143,,,143,,143,,,,143,143,157,296,143,,296,143,,296,143,,296,143,,296,143,,296,143,,296,143,,296,143,,296,143,,296,296,331,516,296,371,516,296,331,371,,296,371,296,331,371,296,331,516,,296,391,296,,516,296,,331,296,331,391,,516,676,,516,676,391,,,391,,676,391,516,676,391,516,676,391,516,676,,516,676,391,516,676,,516,676,,676,,,676,,676,,,676,,,,676,,,676,,,676,,,676,,,676,,676,,,,,,,,,,,143,157,,296,,296,331,296,331,371,,296,676,296,676,,296,676,,676,,
1,59,RRZ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,177,,,150,,,,,,,,,150,,,,,,,,,,,,,219,281,396,233,281,396,190,281,396,,190,219,177,219,233,177,219,233,177,281,362,219,281,362,219,281,362,219,281,396,362,396,,302,396,,302,362,396,281,362,396,,,362,396,459,,362,396,,459,,,281,362,396,281,396,459,,,,396,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,219,396,177,,396,,396,,396,,,396,626,,396,,626,,626,
1,155,ABJM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,164,,,164,,,164,,164,,,,164,,,164,,,164,,164,,,,164,,,,189,,210,164,,210,,189,,164,210,,,164,,164,189,,164,189,,164,210,,189,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,164,,164,189,164,189,,164,,210,189,210,,210,,,,,,,,,,,
1,30,RRG,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,187,,,187,,,187,,,187,,,187,,,187,,,,,,187,,,187,,,394,,488,,,394,394,,,,,,,,,,,,,,,,,,,,,,,,394,488,,,488,544,488,520,,520,544,,,488,544,,488,544,,488,601,394,488,520,394,544,,520,544,,544,,,,544,,544,,,544,,,488,,,488,544,,,488,,488,,,544,,,544,,,,,,,,,,,,187,,394,187,,394,,394,488,,394,488,488,520,601,,488,,488,601,
1,47,GEE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,208,,208,,,,187,,,187,,187,208,,,187,208,187,,208,,187,208,187,,,,187,,,,,,,,,,,,,,,,,,,,208,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,
1,60,PRVX,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,207,,,207,,,207,,,,,,207,,,207,,,207,,,,,,207,255,,,,255,262,,255,360,207,255,262,255,,360,207,255,262,255,262,360,255,262,360,,255,262,255,262,360,360,,564,262,360,,262,564,,262,360,564,262,360,,360,,564,262,360,564,360,,564,262,,564,360,,564,,564,,,564,,,564,,594,,,,,,594,564,,,564,,,,564,,,564,564,,,,564,,,564,,564,593,,564,,,564,594,,594,,,,,,564,594,,594,,,594,,,,,,,,,,,,207,,255,,255,360,,360,594,360,,594,,,594,,564,594,,594,
1,13,GRXS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,220,,,220,,,220,,,220,,,220,,,220,,,220,,220,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,220,,,,,,,,,,,,,,,,
1,93,ARE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,346,,227,346,,227,,227,,346,,227,346,,227,346,,227,346,,227,346,,227,346,227,,346,346,407,,346,359,386,,346,373,,346,373,346,359,,,346,456,,346,407,346,420,456,,346,373,346,359,456,346,420,623,,346,598,359,483,,456,,483,,577,623,456,577,598,456,,577,,456,577,,456,483,,,598,483,,,483,598,,,598,,,598,,577,598,,577,623,,577,598,,598,,,598,,,577,,,,,,,,,,,,,,346,,,346,,346,359,346,407,420,,359,483,359,407,420,,483,
1,53,LRE,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,235,,235,,,248,,,248,,,,248,,248,,,248,,,,248,,,248,388,,,388,408,,388,422,,248,408,422,248,393,,388,393,,,393,,388,408,,,,388,393,422,,393,388,,388,,,388,,,,,,,,,,,,,,,,,,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,299,,235,299,235,299,408,235,,408,408,,408,408,,,,,
1,143,PBES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,251,,,,244,,244,251,,244,,244,251,,,251,,244,251,,244,251,,,244,,244,,,,251,,,,,,,,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,244,,,,244,,244,287,,,253,,282,300,,,,
1,RI101,RBKM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,245,,,,245,,,245,,,245,,,245,245,,,245,,,,245,,,245,,,,,,,,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,
1,132,BSJJ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,,262,,,267,,,267,,,262,,,262,,,262,,,262,,,267,,,262,283,,,283,,,,283,,283,,,283,,,,283,,,283,,283,,,283,,,,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,,262,,,,,,,,,,,,,,,,
1,29,RDS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,159,,159,,,159,,,159,,,,159,,,159,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,MCCI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,,,315,,394,315,,394,315,408,394,315,,394,315,,394,315,394,408,315,,,,,394,315,,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,,315,,,,,,,,,,,
1,1,FRM,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,545,,481,545,,662,,545,,658,,545,658,,545,,,,545,,481,545,,545,658,,545,715,545,658,,,545,,545,715,,,658,,658,715,,545,662,715,,545,,,545,,545,,,658,,715,,,,,,,,,,,,,,,,,,,,,,,481,662,481,,,,662,
1,5,HOL,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,,,510,,,510,,,510,,,510,,,510,,,510,,,510,,,510,,,510,,,608,,,555,,,,,,685,,510,555,510,555,608,,510,555,,510,539,510,539,608,510,,555,628,685,720,,608,,539,720,,,510,,658,608,720,,510,720,,510,,,510,685,628,720,,658,685,,,,,,,,,,,,,,,,,,,,,,,,512,720,,512,720,,512,720
1,50,FRG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,,367,,,367,,,367,,,,367,,367,,,367,,367,,,367,,,367,,,367,,,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,,,,,,,,,,
1,158,VPDD,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,,,389,,,389,,,389,,,389,,,389,,,389,,,389,,,389,,,389,425,,,425,,,425,,,425,,,,,,,,,425,,,425,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,381,425,,381,425,,,381,,,,
1,56,TSNI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497,,,,,,394,,,394,,,394,,,497,,,497,,,497,,,497,,,497,,394,497,,394,497,,394,,394,524,538,,,497,,394,497,394,,497,,,497,394,,497,,524,664,602,664,863,,602,,602,718,781,,,602,,602,863,,602,664,,602,,602,781,863,602,664,781,602,664,863,,,,,,,,,,,,,,,,,,,,,,,497,602,497,538,664,497,718,781
1,49,VRAI,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,543,,,543,,406,543,,,,543,543,,,,543,,,543,,406,543,,,543,,543,,,,543,,,543,,543,,,,,,,,,543,,,,,,,,,543,,,,,,,,,,,,,,,,,,,,,,,,,,,509,,,406,,,509,,
1,12,SBS,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,,412,495,,,,,495,,,,495,,,495,,,,495,412,,495,,,495,,495,,495,,,,495,,495,,,495,,,,,,495,,,,495,,495,,,495,,,,,,,,,,,,,,,,,,,,,,,,,,,412,495,760,412,,,,495,
1,20,FEKA,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,,,418,,418,482,,,418,,,418,,,,,,418,,,418,,,436,,,418,418,550,,418,482,,418,550,,436,,,418,,,418,,,,418,,,,418,418,,550,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,482,,418,482,,478,,
